,"first_name,""last_name"",""company_name"",""address"",""city"",""county"",""postal"",""phone1"",""phone2"",""email"",""web"""
10,"Fernanda,""Writer"",""K & R Associates Inc"",""620 Northampton St"",""Wilmington"",""Kent"",""DA2 7PP"",""01630-202053"",""01687-879391"",""fernanda@writer.co.uk"",""http://www.krassociatesinc.co.uk"""
11,"Charlesetta,""Erm"",""Cain, John M Esq"",""5 Hygeia St"",""Loundsley Green Ward"",""Derbyshire"",""S40 4LY"",""01276-816806"",""01517-624517"",""charlesetta_erm@gmail.com"",""http://www.cainjohnmesq.co.uk"""
12,"Corrinne,""Jaret"",""Sound Vision Corp"",""2150 Morley St"",""Dee Ward"",""Dumfries and Galloway"",""DG8 7DE"",""01625-932209"",""01642-322954"",""corrinne_jaret@gmail.com"",""http://www.soundvisioncorp.co.uk"""
13,"Niesha,""Bruch"",""Rowley/hansell Petetin"",""24 Bolton St"",""Broxburn, Uphall and Winchburg"",""West Lothian"",""EH52 5TL"",""01874-856950"",""01342-793603"",""niesha.bruch@yahoo.com"",""http://www.rowleyhansellpetetin.co.uk"""
14,"Rueben,""Gastellum"",""Industrial Engineering Assocs"",""4 Forrest St"",""Weston-Super-Mare"",""North Somerset"",""BS23 3HG"",""01976-755279"",""01956-535511"",""rueben_gastellum@gastellum.co.uk"",""http://www.industrialengineeringassocs.co.uk"""
15,"Michell,""Throssell"",""Weiss Spirt & Guyer"",""89 Noon St"",""Carbrooke"",""Norfolk"",""IP25 6JQ"",""01967-580851"",""01672-496478"",""mthrossell@throssell.co.uk"",""http://www.weissspirtguyer.co.uk"""
16,"Edgar,""Kanne"",""Crowan, Kenneth W Esq"",""99 Guthrie St"",""New Milton"",""Hampshire"",""BH25 5DF"",""01326-532337"",""01666-638176"",""edgar.kanne@yahoo.com"",""http://www.crowankennethwesq.co.uk"""
17,"Dewitt,""Julio"",""Rittenhouse Motor Co"",""7 Richmond St"",""Parkham"",""Devon"",""EX39 5DJ"",""01253-528327"",""01241-964675"",""dewitt.julio@hotmail.com"",""http://www.rittenhousemotorco.co.uk"""
18,"Charisse,""Spinello"",""Modern Plastics Corp"",""9165 Primrose St"",""Darnall Ward"",""Yorkshire, South"",""S4 7WN"",""01719-831436"",""01207-428520"",""charisse_spinello@spinello.co.uk"",""http://www.modernplasticscorp.co.uk"""
19,"Mee,""Lapinski"",""Galloway Electric Co Inc"",""9 Pengwern St"",""Marldon"",""Devon"",""TQ3 1SA"",""01578-287816"",""01939-815208"",""mee.lapinski@yahoo.com"",""http://www.gallowayelectriccoinc.co.uk"""
20,"Peter,""Gutierres"",""Niagara Custombuilt Mfg Co"",""4410 Tarlton St"",""Prestatyn Community"",""Denbighshire"",""LL19 9EG"",""01842-767201"",""01859-648598"",""peter_gutierres@yahoo.com"",""http://www.niagaracustombuiltmfgco.co.uk"""
21,"Octavio,""Salvadore"",""Practical Periphrals"",""6949 Bourne St"",""Lye and Stourbridge North Ward"",""West Midlands"",""DY5 2QP"",""01552-709248"",""01743-139456"",""octavio.salvadore@yahoo.com"",""http://www.practicalperiphrals.co.uk"""
22,"Martha,""Teplica"",""Curtin, Patricia M Esq"",""148 Rembrandt St"",""Warlingham"",""Surrey"",""CR6 9SW"",""01677-684257"",""01583-287367"",""mteplica@teplica.co.uk"",""http://www.curtinpatriciamesq.co.uk"""
23,"Tamesha,""Veigel"",""Wilhelm, James E Jr"",""2200 Nelson St #58"",""Newport"",""Isle of Wight"",""PO30 5AL"",""01217-342071"",""01280-786847"",""tveigel@veigel.co.uk"",""http://www.wilhelmjamesejr.co.uk"""
24,"Tess,""Sitra"",""Smart Signs"",""61 Rossett St"",""Chichester"",""West Sussex"",""PO19 1RH"",""01473-229124"",""01848-116775"",""tess_sitra@hotmail.com"",""http://www.smartsigns.co.uk"""
25,"Leonard,""Kufner"",""Arctic Star Distributing Inc"",""41 Canning St"",""Steornabhagh a Deas Ward"",""Western Isles"",""HS1 2PZ"",""01230-623547"",""01604-718601"",""lkufner@kufner.co.uk"",""http://www.arcticstardistributinginc.co.uk"""
26,"Svetlana,""Tauras"",""Lensbower, Gregory L Esq"",""8289 Cadogan St"",""South Ward"",""North Eart Lincolnshire"",""DN33 1AU"",""01781-827317"",""01509-121140"",""svetlana_tauras@tauras.co.uk"",""http://www.lensbowergregorylesq.co.uk"""
27,"Pok,""Molaison"",""Portal Metal Products"",""211 Hobart St"",""Newquay"",""Cornwall"",""TR7 1LS"",""01866-248660"",""01315-284286"",""pok@yahoo.com"",""http://www.portalmetalproducts.co.uk"""
28,"Augustine,""Growcock"",""Lynema, Cliff Cpa"",""114 Falkland St #8845"",""Brimpton"",""Berkshire"",""RG7 4RF"",""01541-802635"",""01926-108010"",""augustine.growcock@growcock.co.uk"",""http://www.lynemacliffcpa.co.uk"""
29,"Karma,""Quarto"",""J C S Machinery"",""1 Birkett St"",""Shard End Ward"",""West Midlands"",""B33 0NH"",""01857-864722"",""01307-667811"",""kquarto@gmail.com"",""http://www.jcsmachinery.co.uk"""
30,"Reed,""Weisinger"",""Berick, Joseph G Esq"",""5147 Blackstone St"",""Letchworth South West Ward"",""Hertfordshire"",""SG6 3LE"",""01243-678286"",""01292-297245"",""reed_weisinger@yahoo.com"",""http://www.berickjosephgesq.co.uk"""
31,"German,""Zelaya"",""Jackson & Heit Machine Co Inc"",""7 Shenstone St"",""Longhill Ward"",""Yorkshire, East (North Humbers"",""HU8 9PZ"",""01400-269033"",""01366-210656"",""german@hotmail.com"",""http://www.jacksonheitmachinecoinc.co.uk"""
32,"Milly,""Savidge"",""Bridgeway Plan For Health"",""129 Alexander Pope St"",""Franche Ward"",""Hereford and Worcester"",""DY11 9BW"",""01702-725589"",""01421-132652"",""milly@gmail.com"",""http://www.bridgewayplanforhealth.co.uk"""
33,"Luis,""Ear"",""Wa Inst For Plcy Studies"",""2 Birchfield Rd"",""Whittington"",""Shropshire"",""SY11 4PH"",""01462-648669"",""01405-648623"",""luis@hotmail.com"",""http://www.wainstforplcystudies.co.uk"""
34,"Ciara,""Cobbley"",""Wmgl 101.7 Fm"",""7523 Kempton Rd"",""Cockerton West Ward"",""Darlington"",""DL3 0JF"",""01235-647932"",""01809-443217"",""ciara_cobbley@hotmail.com"",""http://www.wmglfm.co.uk"""
35,"Alethea,""Mould"",""Hughlett, Henry T Jr"",""6305 Elstow St"",""Castle Ward"",""West Sussex"",""BN12 6PR"",""01662-114247"",""01351-868965"",""alethea@hotmail.com"",""http://www.hughletthenrytjr.co.uk"""
36,"Margurite,""Loperfido"",""Penrose Place Pharmacy Inc"",""218 Greenbank Drive"",""Devizes"",""Wiltshire"",""SN10 3DU"",""01407-866759"",""01640-661191"",""mloperfido@gmail.com"",""http://www.penroseplacepharmacyinc.co.uk"""
37,"Vernice,""Sperazza"",""Novak, Alan Paul Esq"",""8921 Forge St"",""Colnbrook with Poyle"",""Buckinghamshire"",""SL3 0PY"",""01822-563044"",""01765-519419"",""vernice@yahoo.com"",""http://www.novakalanpaulesq.co.uk"""
